0,Termid,RegdNo,Course,Grade,CA_100,MTT_50,ETT_100,ETP_100,Course_Att,MHRDName,CA_1,CA_2,CA_3,CA_4,Height,Weight,ScholarType,Direction,Gender,Medium,CourseType,ProgramType
392,418192,1198776,TJZ267,O,89.0,,,75.0,,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),10.0,75.0,1.0,3.0,171,67,Day Scholar,East,Male,Regional,Theory,UG
393,418192,1198776,TJZ268,A,87.0,,,56.0,99.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),49.0,21.0,11.0,6.0,171,67,Day Scholar,East,Male,Regional,Theory,UG
394,418192,1198776,TJZ269,B+,74.0,,,57.0,100.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),58.0,13.0,3.0,0.0,171,67,Day Scholar,East,Male,Regional,Theory,UG
593,218192,1273776,TJZ20,O,90.0,39.0,85.0,,92.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),50.0,38.0,1.0,1.0,165,76,Day Scholar,North,Female,English,Theory,UG
594,218192,1273776,TJZ21,B+,77.0,30.0,49.0,,85.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),25.0,49.0,2.0,1.0,165,76,Day Scholar,North,Female,English,Theory,UG
595,218192,1273776,TJZ22,C,57.0,22.0,46.0,,78.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),54.0,1.0,1.0,1.0,165,76,Day Scholar,North,Female,English,Theory,UG
596,218192,1273776,TJZ23,A,80.0,45.0,70.0,,68.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),36.0,13.0,15.0,16.0,165,76,Day Scholar,North,Female,English,Theory,UG
597,218192,1273776,TJZ24,A+,70.0,,,78.0,92.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),23.0,43.0,1.0,3.0,165,76,Day Scholar,North,Female,English,Theory,UG
598,218192,1273776,TJZ25,A,78.0,,,85.0,75.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),10.0,26.0,17.0,25.0,165,76,Day Scholar,North,Female,English,Theory,UG
599,218192,1273776,TJZ28,A,70.0,38.0,69.0,,90.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),28.0,4.0,32.0,6.0,165,76,Day Scholar,North,Female,English,Theory,UG
600,218192,1273776,TJZ334,A+,,,,76.0,,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),,,,,165,76,Day Scholar,North,Female,English,Practical,UG
601,218192,1273776,TJZ363,B+,74.0,,,75.0,83.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),65.0,0.0,7.0,2.0,165,76,Day Scholar,North,Female,English,Theory,UG
602,218192,1273776,TJZ369,B,77.0,32.0,53.0,,67.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),26.0,5.0,16.0,30.0,165,76,Day Scholar,North,Female,English,Theory,UG
603,218192,1273776,TJZ370,B,63.0,25.0,56.0,,67.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),58.0,5.0,0.0,0.0,165,76,Day Scholar,North,Female,English,Theory,UG
936,218192,1353776,TJZ20,B,44.0,25.0,69.0,,82.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),9.0,12.0,14.0,9.0,172,59,Day Scholar,West,Male,English,Theory,UG
937,218192,1353776,TJZ21,E,54.0,15.0,18.0,,81.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),18.0,16.0,18.0,2.0,172,59,Day Scholar,West,Male,English,Theory,UG
938,218192,1353776,TJZ22,E,59.0,18.0,19.0,,83.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),30.0,23.0,4.0,2.0,172,59,Day Scholar,West,Male,English,Theory,UG
939,218192,1353776,TJZ23,B,60.0,30.0,50.0,,75.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),29.0,9.0,0.0,22.0,172,59,Day Scholar,West,Male,English,Theory,UG
940,218192,1353776,TJZ24,B+,60.0,,,73.0,55.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),7.0,53.0,0.0,0.0,172,59,Day Scholar,West,Male,English,Theory,UG
941,218192,1353776,TJZ25,B,72.0,,,53.0,68.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),18.0,24.0,21.0,9.0,172,59,Day Scholar,West,Male,English,Theory,UG
942,218192,1353776,TJZ28,B,52.0,28.0,53.0,,85.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),50.0,1.0,1.0,0.0,172,59,Day Scholar,West,Male,English,Theory,UG
943,218192,1353776,TJZ333,A,84.0,,,73.0,85.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),44.0,10.0,9.0,21.0,172,59,Day Scholar,West,Male,English,Theory,UG
944,218192,1353776,TJZ334,R,,,,39.0,,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),,,,,172,59,Day Scholar,West,Male,English,Practical,UG
945,218192,1353776,TJZ369,C,52.0,14.0,50.0,,83.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),11.0,2.0,0.0,39.0,172,59,Day Scholar,West,Male,English,Theory,UG
946,218192,1353776,TJZ370,E,40.0,13.0,25.0,,49.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),14.0,7.0,16.0,3.0,172,59,Day Scholar,West,Male,English,Theory,UG
1125,318192,1419776,TJZ153,B,47.0,,,71.0,83.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),42.0,4.0,1.0,0.0,160,42,Day Scholar,East,Male,English,Theory,UG
1126,318192,1419776,TJZ157,B,55.0,19.0,50.0,,93.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),44.0,0.0,0.0,11.0,160,42,Day Scholar,East,Male,English,Theory,UG
1127,318192,1419776,TJZ158,B+,67.0,30.0,52.0,,95.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),55.0,11.0,1.0,0.0,160,42,Day Scholar,East,Male,English,Theory,UG
1128,318192,1419776,TJZ161,A,51.0,28.0,53.0,,88.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),34.0,15.0,1.0,1.0,160,42,Day Scholar,East,Male,English,Theory,UG
1129,318192,1419776,TJZ162,A,61.0,,,76.0,83.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),54.0,3.0,4.0,0.0,160,42,Day Scholar,East,Male,English,Theory,UG
1130,318192,1419776,TJZ38,B+,67.0,31.0,35.0,,92.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),14.0,1.0,32.0,20.0,160,42,Day Scholar,East,Male,English,Theory,UG
1131,318192,1419776,TJZ53,E,58.0,17.0,26.0,,93.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),17.0,40.0,1.0,0.0,160,42,Day Scholar,East,Male,English,Theory,UG
1132,318192,1419776,TJZ54,B,46.0,20.0,52.0,,86.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),43.0,2.0,0.0,1.0,160,42,Day Scholar,East,Male,English,Theory,UG
1133,318192,1419776,TJZ942,O,94.0,,,77.0,100.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),29.0,64.0,1.0,0.0,160,42,Day Scholar,East,Male,English,Theory,UG
1180,318192,1427776,TJZ157,E,77.0,13.0,18.0,,67.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),26.0,48.0,0.0,3.0,159,75,Day Scholar,North,Female,English,Theory,UG
1181,318192,1427776,TJZ158,D,60.0,25.0,32.0,,59.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),6.0,24.0,13.0,17.0,159,75,Day Scholar,North,Female,English,Theory,UG
1182,318192,1427776,TJZ161,D,57.0,20.0,30.0,,72.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),31.0,22.0,3.0,1.0,159,75,Day Scholar,North,Female,English,Theory,UG
1183,318192,1427776,TJZ162,A+,76.0,,,71.0,87.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),51.0,14.0,0.0,11.0,159,75,Day Scholar,North,Female,English,Theory,UG
1184,318192,1427776,TJZ202,B,57.0,23.0,50.0,,75.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),34.0,3.0,0.0,20.0,159,75,Day Scholar,North,Female,English,Theory,UG
1185,318192,1427776,TJZ38,B+,75.0,22.0,58.0,,88.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),4.0,65.0,5.0,1.0,159,75,Day Scholar,North,Female,English,Theory,UG
1186,318192,1427776,TJZ39,B+,52.0,,,67.0,82.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),27.0,3.0,18.0,4.0,159,75,Day Scholar,North,Female,English,Theory,UG
1187,318192,1427776,TJZ53,C,47.0,24.0,40.0,,78.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),27.0,6.0,3.0,11.0,159,75,Day Scholar,North,Female,English,Theory,UG
1188,318192,1427776,TJZ54,E,63.0,9.0,28.0,,79.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),33.0,29.0,1.0,0.0,159,75,Day Scholar,North,Female,English,Theory,UG
1189,318192,1427776,TJZ809,E,22.0,8.0,23.0,,82.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),13.0,8.0,1.0,0.0,159,75,Day Scholar,North,Female,English,Theory,UG
1275,418192,1470776,TJZ556,A+,,,,82.0,,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),,,,,168,91,Hostler,South,Male,English,Practical,UG
1355,218192,1490776,TJZ20,E,30.0,28.0,38.0,,73.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),7.0,14.0,4.0,5.0,156,41,Hostler,South,Female,English,Theory,UG
1356,218192,1490776,TJZ21,B,55.0,20.0,49.0,,80.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),52.0,3.0,0.0,0.0,156,41,Hostler,South,Female,English,Theory,UG
1357,218192,1490776,TJZ22,C,49.0,14.0,53.0,,82.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),5.0,44.0,0.0,0.0,156,41,Hostler,South,Female,English,Theory,UG
1358,218192,1490776,TJZ23,B,62.0,24.0,49.0,,75.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),39.0,20.0,1.0,2.0,156,41,Hostler,South,Female,English,Theory,UG
1359,218192,1490776,TJZ24,B,60.0,,,51.0,77.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),1.0,28.0,17.0,14.0,156,41,Hostler,South,Female,English,Theory,UG
1360,218192,1490776,TJZ25,B+,70.0,,,68.0,87.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),50.0,2.0,4.0,14.0,156,41,Hostler,South,Female,English,Theory,UG
1361,218192,1490776,TJZ28,B,62.0,26.0,68.0,,71.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),2.0,25.0,26.0,9.0,156,41,Hostler,South,Female,English,Theory,UG
1362,218192,1490776,TJZ369,B,73.0,18.0,58.0,,80.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),2.0,69.0,2.0,0.0,156,41,Hostler,South,Female,English,Theory,UG
1363,218192,1490776,TJZ370,E,43.0,9.0,28.0,,75.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),42.0,0.0,0.0,1.0,156,41,Hostler,South,Female,English,Theory,UG
1621,318192,1548776,TJZ157,A+,69.0,22.0,70.0,,55.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),21.0,31.0,15.0,2.0,167,40,Day Scholar,West,Male,English,Theory,UG
1622,318192,1548776,TJZ158,B+,80.0,24.0,55.0,,86.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),0.0,61.0,7.0,12.0,167,40,Day Scholar,West,Male,English,Theory,UG
1623,318192,1548776,TJZ161,A+,39.0,35.0,72.0,,86.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),19.0,3.0,3.0,14.0,167,40,Day Scholar,West,Male,English,Theory,UG
1624,318192,1548776,TJZ162,A+,69.0,,,79.0,88.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),32.0,19.0,5.0,13.0,167,40,Day Scholar,West,Male,English,Theory,UG
1625,318192,1548776,TJZ1696,A+,86.0,,,90.0,93.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),68.0,16.0,0.0,2.0,167,40,Day Scholar,West,Male,English,Theory,UG
1626,318192,1548776,TJZ38,B+,61.0,26.0,50.0,,88.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),9.0,31.0,6.0,15.0,167,40,Day Scholar,West,Male,English,Theory,UG
1627,318192,1548776,TJZ39,A,57.0,,,68.0,92.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),13.0,12.0,18.0,14.0,167,40,Day Scholar,West,Male,English,Theory,UG
1628,318192,1548776,TJZ417,A+,67.0,23.0,68.0,,93.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),61.0,4.0,1.0,1.0,167,40,Day Scholar,West,Male,English,Theory,UG
1629,318192,1548776,TJZ53,B+,75.0,23.0,49.0,,77.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),60.0,6.0,5.0,4.0,167,40,Day Scholar,West,Male,English,Theory,UG
1630,318192,1548776,TJZ54,A,69.0,29.0,48.0,,81.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),47.0,9.0,6.0,7.0,167,40,Day Scholar,West,Male,English,Theory,UG
1757,218192,1577776,TJZ20,E,22.0,17.0,0.0,,74.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),12.0,9.0,0.0,1.0,165,51,Day Scholar,West,Male,English,Theory,UG
1758,218192,1577776,TJZ21,E,37.0,0.0,0.0,,68.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),1.0,31.0,4.0,1.0,165,51,Day Scholar,West,Male,English,Theory,UG
1759,218192,1577776,TJZ22,E,44.0,4.0,0.0,,65.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),38.0,4.0,0.0,2.0,165,51,Day Scholar,West,Male,English,Theory,UG
1760,218192,1577776,TJZ23,E,3.0,18.0,0.0,,72.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),1.0,2.0,0.0,0.0,165,51,Day Scholar,West,Male,English,Theory,UG
1761,218192,1577776,TJZ24,E,55.0,,,0.0,66.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),43.0,7.0,2.0,3.0,165,51,Day Scholar,West,Male,English,Theory,UG
1762,218192,1577776,TJZ25,E,62.0,,,21.0,65.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),42.0,7.0,9.0,4.0,165,51,Day Scholar,West,Male,English,Theory,UG
1763,218192,1577776,TJZ28,C,44.0,26.0,52.0,,73.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),21.0,11.0,4.0,8.0,165,51,Day Scholar,West,Male,English,Theory,UG
1764,218192,1577776,TJZ369,E,40.0,9.0,18.0,,70.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),4.0,15.0,4.0,17.0,165,51,Day Scholar,West,Male,English,Theory,UG
1765,218192,1577776,TJZ370,E,0.0,0.0,0.0,,78.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),0.0,0.0,0.0,0.0,165,51,Day Scholar,West,Male,English,Theory,UG
1832,318192,1603776,TJZ157,D,39.0,25.0,22.0,,86.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),21.0,5.0,8.0,5.0,181,48,Day Scholar,South,Female,Regional,Theory,UG
1833,318192,1603776,TJZ158,C,64.0,29.0,36.0,,81.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),15.0,8.0,18.0,23.0,181,48,Day Scholar,South,Female,Regional,Theory,UG
1834,318192,1603776,TJZ161,C,39.0,15.0,46.0,,85.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),29.0,8.0,0.0,2.0,181,48,Day Scholar,South,Female,Regional,Theory,UG
1835,318192,1603776,TJZ162,B,40.0,,,66.0,80.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),24.0,4.0,0.0,12.0,181,48,Day Scholar,South,Female,Regional,Theory,UG
1836,318192,1603776,TJZ38,B,51.0,15.0,44.0,,90.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),36.0,12.0,3.0,0.0,181,48,Day Scholar,South,Female,Regional,Theory,UG
1837,318192,1603776,TJZ39,B,40.0,,,65.0,77.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),40.0,0.0,0.0,0.0,181,48,Day Scholar,South,Female,Regional,Theory,UG
1838,318192,1603776,TJZ416,C,29.0,,,65.0,81.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),19.0,0.0,2.0,8.0,181,48,Day Scholar,South,Female,Regional,Theory,UG
1839,318192,1603776,TJZ476,A,66.0,,,71.0,80.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),17.0,43.0,6.0,0.0,181,48,Day Scholar,South,Female,Regional,Theory,UG
1840,318192,1603776,TJZ53,E,50.0,18.0,19.0,,86.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),26.0,13.0,9.0,2.0,181,48,Day Scholar,South,Female,Regional,Theory,UG
1841,318192,1603776,TJZ684,B+,35.0,34.0,72.0,,24.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),4.0,25.0,4.0,2.0,181,48,Day Scholar,South,Female,Regional,Theory,UG
2180,318192,1680776,TJZ157,A+,77.0,18.0,62.0,,88.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),72.0,4.0,0.0,1.0,168,52,Day Scholar,South,Female,Regional,Theory,UG
2181,318192,1680776,TJZ158,B,55.0,27.0,53.0,,93.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),22.0,5.0,19.0,9.0,168,52,Day Scholar,South,Female,Regional,Theory,UG
2182,318192,1680776,TJZ161,O,87.0,33.0,63.0,,91.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),29.0,36.0,7.0,15.0,168,52,Day Scholar,South,Female,Regional,Theory,UG
2183,318192,1680776,TJZ162,A+,69.0,,,75.0,77.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),22.0,19.0,21.0,7.0,168,52,Day Scholar,South,Female,Regional,Theory,UG
2184,318192,1680776,TJZ38,B,67.0,15.0,31.0,,93.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),26.0,41.0,0.0,0.0,168,52,Day Scholar,South,Female,Regional,Theory,UG
2185,318192,1680776,TJZ39,A,52.0,,,75.0,93.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),38.0,14.0,0.0,0.0,168,52,Day Scholar,South,Female,Regional,Theory,UG
2186,318192,1680776,TJZ53,B,35.0,29.0,59.0,,87.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),34.0,0.0,1.0,0.0,168,52,Day Scholar,South,Female,Regional,Theory,UG
2187,318192,1680776,TJZ54,A,64.0,30.0,45.0,,86.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),61.0,1.0,0.0,2.0,168,52,Day Scholar,South,Female,Regional,Theory,UG
2188,318192,1680776,TJZ575,A,73.0,28.0,45.0,,90.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),3.0,8.0,29.0,33.0,168,52,Day Scholar,South,Female,Regional,Theory,UG
2189,318192,1680776,TJZ809,E,39.0,3.0,0.0,,87.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),24.0,11.0,4.0,0.0,168,52,Day Scholar,South,Female,Regional,Theory,UG
2194,418192,1683776,TJZ556,O,,,,88.0,,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),,,,,182,77,Day Scholar,North,Male,Hindi,Practical,UG
2215,218192,1687776,TJZ20,B+,72.0,34.0,55.0,,95.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),12.0,1.0,18.0,41.0,154,46,Day Scholar,South,Male,Hindi,Theory,UG
2216,218192,1687776,TJZ21,B,83.0,18.0,46.0,,93.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),19.0,12.0,41.0,11.0,154,46,Day Scholar,South,Male,Hindi,Theory,UG
2217,218192,1687776,TJZ22,B+,65.0,24.0,59.0,,95.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),50.0,7.0,6.0,2.0,154,46,Day Scholar,South,Male,Hindi,Theory,UG
2218,218192,1687776,TJZ23,B+,80.0,38.0,49.0,,96.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),38.0,25.0,7.0,10.0,154,46,Day Scholar,South,Male,Hindi,Theory,UG
2219,218192,1687776,TJZ24,B+,68.0,,,54.0,90.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),9.0,34.0,13.0,12.0,154,46,Day Scholar,South,Male,Hindi,Theory,UG
2220,218192,1687776,TJZ25,A,84.0,,,73.0,100.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),25.0,2.0,44.0,13.0,154,46,Day Scholar,South,Male,Hindi,Theory,UG
2221,218192,1687776,TJZ28,A,67.0,33.0,66.0,,92.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),13.0,12.0,33.0,9.0,154,46,Day Scholar,South,Male,Hindi,Theory,UG
2222,218192,1687776,TJZ333,A,78.0,,,76.0,98.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),64.0,5.0,7.0,2.0,154,46,Day Scholar,South,Male,Hindi,Theory,UG
2223,218192,1687776,TJZ334,A+,,,,77.0,,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),,,,,154,46,Day Scholar,South,Male,Hindi,Practical,UG
2224,218192,1687776,TJZ369,B,64.0,25.0,50.0,,91.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),64.0,0.0,0.0,0.0,154,46,Day Scholar,South,Male,Hindi,Theory,UG
2225,218192,1687776,TJZ370,B+,82.0,28.0,46.0,,94.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),79.0,0.0,1.0,2.0,154,46,Day Scholar,South,Male,Hindi,Theory,UG
2336,318192,1721776,TJZ118,C,60.0,28.0,32.0,,82.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),55.0,4.0,1.0,0.0,181,40,Day Scholar,West,Male,Hindi,Theory,UG
2337,318192,1721776,TJZ157,E,35.0,7.0,20.0,,79.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),33.0,0.0,0.0,2.0,181,40,Day Scholar,West,Male,Hindi,Theory,UG
2338,318192,1721776,TJZ158,C,67.0,22.0,38.0,,75.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),14.0,20.0,20.0,13.0,181,40,Day Scholar,West,Male,Hindi,Theory,UG
2339,318192,1721776,TJZ161,C,45.0,22.0,32.0,,91.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),40.0,2.0,0.0,3.0,181,40,Day Scholar,West,Male,Hindi,Theory,UG
2340,318192,1721776,TJZ162,B+,54.0,,,55.0,75.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),26.0,22.0,0.0,6.0,181,40,Day Scholar,West,Male,Hindi,Theory,UG
2341,318192,1721776,TJZ38,E,41.0,6.0,12.0,,75.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),31.0,10.0,0.0,0.0,181,40,Day Scholar,West,Male,Hindi,Theory,UG
2342,318192,1721776,TJZ39,B+,58.0,,,63.0,87.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),36.0,0.0,15.0,7.0,181,40,Day Scholar,West,Male,Hindi,Theory,UG
2343,318192,1721776,TJZ53,C,50.0,17.0,36.0,,82.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),12.0,27.0,9.0,2.0,181,40,Day Scholar,West,Male,Hindi,Theory,UG
2344,318192,1721776,TJZ54,E,39.0,3.0,29.0,,76.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),37.0,2.0,0.0,0.0,181,40,Day Scholar,West,Male,Hindi,Theory,UG
2345,318192,1721776,TJZ842,B+,67.0,,,66.0,84.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),46.0,21.0,0.0,0.0,181,40,Day Scholar,West,Male,Hindi,Theory,UG
2425,218192,1745776,TJZ20,A+,87.0,38.0,80.0,,90.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),62.0,4.0,18.0,3.0,182,99,Hostler,West,Female,English,Theory,UG
2426,218192,1745776,TJZ21,A+,100.0,29.0,82.0,,86.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),46.0,49.0,3.0,2.0,182,99,Hostler,West,Female,English,Theory,UG
2427,218192,1745776,TJZ22,A+,95.0,35.0,79.0,,89.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),17.0,77.0,1.0,0.0,182,99,Hostler,West,Female,English,Theory,UG
2428,218192,1745776,TJZ23,O,94.0,47.0,75.0,,89.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),9.0,45.0,18.0,22.0,182,99,Hostler,West,Female,English,Theory,UG
2429,218192,1745776,TJZ24,O,91.0,,,94.0,85.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),65.0,26.0,0.0,0.0,182,99,Hostler,West,Female,English,Theory,UG
2430,218192,1745776,TJZ25,A,88.0,,,71.0,86.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),61.0,0.0,3.0,24.0,182,99,Hostler,West,Female,English,Theory,UG
2431,218192,1745776,TJZ28,A,61.0,35.0,75.0,,88.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),42.0,9.0,5.0,5.0,182,99,Hostler,West,Female,English,Theory,UG
2432,218192,1745776,TJZ334,A,,,,71.0,,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),,,,,182,99,Hostler,West,Female,English,Practical,UG
2433,218192,1745776,TJZ369,A,84.0,42.0,65.0,,90.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),60.0,8.0,11.0,5.0,182,99,Hostler,West,Female,English,Theory,UG
2434,218192,1745776,TJZ370,A,69.0,32.0,69.0,,88.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),23.0,39.0,4.0,3.0,182,99,Hostler,West,Female,English,Theory,UG
2435,218192,1745776,TJZ876,A,79.0,,,83.0,83.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),39.0,40.0,0.0,0.0,182,99,Hostler,West,Female,English,Theory,UG
2475,318192,1751776,TJZ150,A+,73.0,,,87.0,86.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),64.0,2.0,7.0,0.0,179,63,Day Scholar,West,Male,Hindi,Theory,UG
2476,318192,1751776,TJZ157,B,89.0,9.0,53.0,,62.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),23.0,30.0,4.0,32.0,179,63,Day Scholar,West,Male,Hindi,Theory,UG
2477,318192,1751776,TJZ158,B,79.0,29.0,45.0,,53.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),30.0,9.0,12.0,28.0,179,63,Day Scholar,West,Male,Hindi,Theory,UG
2478,318192,1751776,TJZ161,O,62.0,38.0,73.0,,80.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),22.0,20.0,19.0,1.0,179,63,Day Scholar,West,Male,Hindi,Theory,UG
2479,318192,1751776,TJZ162,O,91.0,,,86.0,79.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),12.0,53.0,25.0,1.0,179,63,Day Scholar,West,Male,Hindi,Theory,UG
2480,318192,1751776,TJZ38,C,62.0,19.0,27.0,,84.0,Bachelor of Technology in Electronics and Communication Engineering (Internet of Things),15.0,2.0,24.0,21.0,179,63,Day Scholar,West,Male,Hindi,Theory,UG
